post_shortcode,commenter_username,comment_text,comment_likes
CV5WqggMDCb,rheinblicke,:face_vomiting:,0
CV5WqggMDCb,alen_ching,OK now im scared,0
CV5WqggMDCb,jennifer_alana,@carlakobilinski did you see this :flushed_face:,0
CV5WqggMDCb,britt_diesel,There’s just nothing like using the physical imagery of being shot and killed without question for not complying. :face_with_rolling_eyes::face_with_rolling_eyes::face_with_rolling_eyes:,140
CV5WqggMDCb,may_not_meg,Yikes! Cringe worthy!,0
CV5WqggMDCb,joyefish11,Can't say much for their dance skills but I respect the cause,5
CV5WqggMDCb,lcdp,@lke0402,1
CV5WqggMDCb,jacknarcissus_,"Has this been sanctioned by their president? I wouldn't do anything ""unusual"" while that guy was around",2
CV5WqggMDCb,real_lil,Creepy and funny at the same time :face_with_tears_of_joy:,11
CV5WqggMDCb,jesus.christ.super.freak,S Q U I D B A L L S,2
CV5WqggMDCb,lynnjabreul,Creepy AF!,6
CV5WqggMDCb,idyllss1111,@ashcalagos :face_with_tears_of_joy:,1
CV5WqggMDCb,black___ginger,Haha fun,0
CV5WqggMDCb,muffinbabysmoot,This might work:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
CV5WqggMDCb,big_bro_84,"Enforcing a mandate through the use of a killing regime? Sounds convincing, submit!",21
CV5WqggMDCb,bigbri64,Haven’t seen it... they just look like a bunch of road cleanup convicts to me :thinking_face:,1
CV5WqggMDCb,an.dinh.tn,@_lizbethparra @n_james,1
CV5WqggMDCb,benlopez_239,Money Heist??,0
CV5WqggMDCb,haviland___,Yeah and they’re encouraging dystopian behavior that decreases social bonds and cultivates alienation in the stewardship of capitalist accumulation,21
CV5WqggMDCb,bgriffin44,Squid balls,39
CV5WqggMDCb,vikrantbanerjee,@jehaniswhut,1
CV5WqggMDCb,holidayygg,So comply or get shot …?,5
CV5WqggMDCb,gotsarah,Strange,1
CV5WqggMDCb,urbanexcavations,:pleading_face::face_screaming_in_fear:,0
CV5WqggMDCb,anna_ward_m_,Ahhh! I’m feeling triggered ;) #redlightgreenlight,0
CV5WqggMDCb,davidrothsteinmusic,Whatever it takes!!:raising_hands::clapping_hands:,15
CV5WqggMDCb,notomarromero,This is epic :raising_hands_medium-dark_skin_tone:,7
CV5WqggMDCb,kaaylaakatt,I would have shat myself seeing them come down the escalator like that :face_with_tears_of_joy:,2
CV5WqggMDCb,t3flicks,I would be literally so scaref,0
CV5WqggMDCb,ligiaspeaks,Brilliant,3
CV5WqggMDCb,zak.kalama,I’d be OOUUUT :man_running:,26
CV5WqggMDCb,lsuzblox,@80lbsoffury :face_with_tears_of_joy:,1
CV5WqggMDCb,mdejos,@nhudaopharmer @cheryldejos,0
CV5WqggMDCb,hummelchuck,"Sure, that’s not creepy.",0
CV5WqggMDCb,kristenkealigan,@dunseanigan this is amazing,2
CV5WqggMDCb,ms_je_ne_sais_quoi,@being_adrienne wow!,0
CV5WqggMDCb,iitz_barbie,That looks lit,0
CV5WqggMDCb,sadlollipopmountain,"We are incapable of making the news for anything other than horrible corruption, extrajudicial killings, natural disasters, and pop culture gimmicks. :man_facepalming_light_skin_tone:",29
CV5WqggMDCb,mozierosie1974,:raising_hands: :clapping_hands: :face_with_tears_of_joy:,0
CV5WqggMDCb,avnoren,@smblynch,0
CV5WqggMDCb,iamchelythatsall,"Ah, no gracias",54
CV5WqggMDCb,xalliyx,I WOULDVE BEEN TERRIFIED :face_with_tears_of_joy:,84
CV5WqggMDCb,daisyes,@rud.ieo,1
CV5WqggMDCb,bonnieleesilke,:red_heart:,0
CV5WqggMDCb,magic.ksenya,MAGICAL HELP:crystal_ball:,0
CV5WqggMDCb,brenndencolbert,Wouldn’t that be terrifying?,208
CV5WqggMDCb,eliza_morake,@lucianmihaisufana :face_with_tears_of_joy::face_with_tears_of_joy:,0
CV5WqggMDCb,mkort677,The Covid hysteria is dystopian,32
